"taxon_id","no0_median","low_2pnt5pct","low_10pct","high_90pct","high_97pnt5pct","prevalence","f0to2pnt5","f2pnt5to10","f10to90","f90to97pnt5","f97pnt5up","flag_pattern","type_1","category","message","taxon_type","colour_code","description","low","high","id","sample_type"
884,"0.569101765",0.290839623,0.298402413,1.549723461,1.901732586,"75.40983607","green","green","green","yellow","red","5","cat","core taxa","unknown","Key","NA","Bacteria belonging to the Ruminococcus genus are anti-inflammatory bacteria that help your pet digest complex carbohydrates that are abundant in plant material like vegetables and fruits.",0,3,768,"gut"
885,"2.128431105",0.327201495,0.637009847,5.470483989,8.441501247,"95.87628866","yellow","yellow","green","yellow","red","3","dog","core taxa","unknown","Key","#00b3b0","
Bacteria belonging to the [Ruminococcus] genus possess potent anti-inflammatory properties and also help kill pathogens that have entered the digestive tract. To increase [Ruminococcus] levels, try adding a source of dietary fiber like psyllium husk, inulin, or acacia gum to your pet's diet.",0,10,5,"gut"
886,"0.75509022",0.32285233,0.36248831,1.90113148,2.4897561,"83.60655738","yellow","ltgreen","green","yellow","red","2","cat","core taxa","unknown","Key","#72be45","Bacteria belonging to the [Ruminococcus]
genus possess potent anti-inflammatory
properties and also help kill pathogens
that have entered the digestive tract. To
increase [Ruminococcus] levels, try
adding a source of dietary fiber like
psyllium husk, inulin, or acacia gum to
your pet's diet.",0,5,7,"gut"
796,"3.976636545",0.841928974,1.133043552,7.906215151,10.29420189,"49.48453608","ltgreen","ltgreen","green","yellow","red","4","dog","core taxa","unknown","Key","#87ccaa","Bacteria belonging to the Alloprevotella genus help digest proteins and complex carbohydrates in your pet’s diet. They produce special compounds that fight inflammation in the digestive tract and throughout the body. If Alloprevotella levels are too low in your pet’s sample, it can be increased by the addition of a small amount of whole grain barley, seeds (including chia, flax, pumpkin, sunflower, and sesame seeds), or brown rice to the diet. If Alloprevotella levels are too high, the addition of inulin to the diet should help to bring its levels down. Adding a small amount of both inulin and whole grains to the diet can improve overall diversity.",0,11.5,1,"gut"
333,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","Bacteria belonging to the Fusibacter genus are one of the most abundant bacteria found in the oral cavity of cats. After a cat has a dental cleaning, the amount of Fusibacter bacteria has been shown to decrease. 
",0,0,245,"gut"
257,"6.27526619",0.43812515,1.274444769,14.05766853,28.40413229,"100","red","yellow","green","yellow","red","1","cat","core taxa","unknown","Key","#1c516d","Bacteria belonging to the Bacteroides genus help prevent harmful bacteria from colonizing in the gut. Pets with more of these bacteria tend to have healthier body weights. If your pet's sample is low in Bacteroides, consider adding a prebiotic supplement like psyllium husk powder, inulin, or acacia gum to help feed these bacteria. If Bacteroides levels are too high, consider adding a small amount of whole grain barley, seeds (including chia, flax, pumpkin, sunflower, and sesame seeds), or brown rice to the diet. Adding a small amount of both inulin and whole grains to the diet can improve overall diversity.",0,30,98,"gut"
413,"0",0,0,6,6,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF7256","Anaerobic bacteria belonging to the Fusobacterium genus are commonly found in the gut where they help your pet digest animal proteins. At the same time, elevated levels of Fusobacterium in the oral cavity are associated with periodontal disease and bad breath (halitosis), so moderation is key. 
To correct for levels of Fusobacterium above the healthy range, consider adding additional dental care to your dog’s daily regimen such as a prebiotic additive to your dog’s water, tooth brushing, or seek guidance from your veterinarian. 
",0,7,84025,"oral"
257,"5.153148655",0.470555159,0.71334388,14.70514254,17.88937908,"88.65979381","red","yellow","green","yellow","red","1","dog","core taxa","unknown","Key","#1c516d","Bacteria belonging to the Bacteroides genus help prevent harmful bacteria from colonizing in the gut. Pets with more of these bacteria tend to have healthier body weights. If your pet's sample is low in Bacteroides, consider adding a prebiotic supplement like psyllium husk powder, inulin, or acacia gum to help feed these bacteria. If Bacteroides levels are too high, consider adding a small amount of whole grain barley, seeds (including chia, flax, pumpkin, sunflower, and sesame seeds), or brown rice to the diet. Adding a small amount of both inulin and whole grains to the diet can improve overall diversity.",0,20,97,"gut"
413,"0",0,0,2,2,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF7256","Anaerobic bacteria belonging to the Fusobacterium genus are commonly found in the gut where they help your pet digest animal proteins. At the same time, elevated levels of Fusobacterium in the oral cavity are associated with periodontal disease and bad breath (halitosis), so moderation is key. 
To correct for levels of Fusobacterium above the healthy range, consider adding additional dental care to your dog’s daily regimen such as a prebiotic additive to your dog’s water, tooth brushing, or seek guidance from your veterinarian. 
",0,3,84004,"oral"
747,"2.5",0,0,5,5,"0","green","green","green","yellow","red","5","dog","Health associated","NA","Key","#1d345f","Corynebacterium are commonly found in healthy oral biofilm communities in dogs. There is evidence that a specie of Corynebacterium and Streptococcus sanguinis work together and are important for the healthy oral biofilm development. ",0,12,84023,"oral"
857,"0",0,0,1,1,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FFDEAD","Bacteria belonging to the Parvimonas genus occur in the oral cavity of dogs and are associated with periodontal disease. In particular, Parvimonas micra is thought to be a ‘keystone pathogen’ because it’s presence has been found to accelerate the damage caused by other oral pathogens. 

",0,5,84002,"oral"
857,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FFDEAD","Bacteria belonging to the Parvimonas genus occur in the oral cavity of dogs and are associated with periodontal disease. In particular, Parvimonas micra is thought to be a ‘keystone pathogen’ because it’s presence has been found to accelerate the damage caused by other oral pathogens. 

",0,5,84031,"oral"
1313,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF3D0D","While this bacteria has been found in healthy oral cavities, it is more commonly associated with subgingival infection sites, and plaque from patients with periodontal disease. ",0,5,84037,"oral"
333,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5401,"gut"
715,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,611,"gut"
715,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5747,"gut"
258,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,179,"gut"
258,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5336,"gut"
202,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5283,"gut"
202,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,125,"gut"
312,"0",0,0,5,5,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FFCC11","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health. In particular, the species Streptococcus pneumoniae is related to periodontal health.",0,10,84006,"oral"
312,"0",0,0,0,5,"0","green","green","green","green","red","6","dog","Pathobiont","NA","Key","#FF82AB","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health. In particular, the species Streptococcus pneumoniae is related to periodontal health.",0,10,84040,"oral"
514,"10",0,0,20,20,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#37315c","Bacteria belonging to the Pasteurella genus are found in the oral cavity in about 55% of dogs, and about 80% of cats. Although associated with the oral biofilm of healthy dogs and cats, these bacteria are more likely to be found in dogs with more tartar (or “calculus”) on their teeth. Small dogs tend to have more Pasteurella bacteria in their mouths compared to large dogs, and male cats tend to have more Pasteurella bacteria compared to female cats.",0,30,83993,"oral"
269,"0",0,0,15,15,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF8C00","Bacteria in the Porphyromonas genus are commonly found in the oral cavities of humans, dogs, and cats, including healthy individuals. However, when present in large numbers, these bacteria may contribute to chronic gum disease. In people, these bacteria contribute directly to the deterioration of oral tissue. 

",0,20,84000,"oral"
269,"0",0,0,5,5,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF8C00","Bacteria in the Porphyromonas genus are commonly found in the oral cavities of humans, dogs, and cats, including healthy individuals. However, when present in large numbers, these bacteria may contribute to chronic gum disease. In people, these bacteria contribute directly to the deterioration of oral tissue. 

",0,12,84027,"oral"
1898,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF6347","Prevotella are a group of anaerobic bacteria that are commonly found in the oral cavity, but are associated with periodontal disease when their abundance in the oral microbiome increases. 

",0,5,84038,"oral"
520,"0",0,0,0,1,"0","green","green","green","green","red","6","dog","Pathobiont","NA","Key","#87c54f","This is a group of bacteria that includes Pseudomonas aeruginosa, an opportunistic pathogen found in the oral cavity. Pseudomonas can increase in abundance after the removal of plaque and calculus along the gum line with levels declining to a normal range within about 5 weeks.",0,5,84045,"oral"
329,"1.5",0,0,3,3,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#5ba645","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health. In particular, the species Streptococcus pneumoniae is related to periodontal health.

",0,7,83985,"oral"
257,"0",0,0,5,5,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF9955","Bacteroides are a group of anaerobic bacteria commonly found in the gut, but are typically associated with periodontal disease when they occur in abundance in the oral cavity.
",0,10,83998,"oral"
